"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019050","Barcelona (Ciutadella)","2020-09-01T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","36","27","18","21","13","13","22","44","80","92","39","34","18","10","9","10","9","11","15","14","21","42","44","14","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-06-04T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","8","10","11","8","5","10","9","26","34","33","19","17","14","11","19","21","19","17","9","9","14","5","5","5","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-09-01T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","29","33","44","43","52","48","40","22","17","19","54","68","79","92","89","87","80","76","74","71","58","39","45","79","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-06-04T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","66","42","40","57","55","41","49","36","31","33","65","70","76","80","78","82","85","85","87","88","79","89","86","79","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-06-04T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","2","3","5","2","2","2","2","3","2","3","2","1","1","1","1","1","1","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-06-04T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","7","9","10","8","5","9","9","24","29","25","16","14","12","8","15","18","16","14","8","8","13","5","5","4","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-09-02T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","81","83","82","69","35","54","50","41","28","44","70","77","89","86","90","89","106","104","93","74","73","74","67","72","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-09-02T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","6","3","4","8","24","15","22","35","49","44","26","26","16","12","9","19","10","11","16","30","26","21","21","12","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-09-03T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","51","26","18","34","46","49","33","18","11","28","60","86","99","97","96","95","97","96","98","85","67","69","67","52","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-09-03T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","2","5","24","12","8","2","1","2","2","2","2","2","2","1","2","1","1","1","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-09-03T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","20","36","39","31","19","17","29","46","59","51","31","13","5","6","8","9","9","9","10","20","26","22","17","17","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-05-25T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","10","14","18","25","33","43","23","18","16","26","24","37","27","25","35","54","47","33","41","70","34","33","20","12","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-05-03T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","42","35","20","8","10","12","4","7","17","46","56","57","58","59","56","60","59","55","56","52","46","44","37","35","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-05-30T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","31","78","27","16","18","17","14","14","16","10","5","4","8","3","3","3","3","3","3","5","6","2","6","2","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-05-07T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","27","23","16","23","31","35","25","24","29","54","77","83","83","85","86","88","88","89","95","93","76","67","68","68","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
"08019050","Barcelona (Ciutadella)","2020-05-21T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","37","23","12","13","9","5","4","5","7","11","25","46","55","72","48","74","78","101","101","80","79","82","80","79","7","41.386406","2.1873982","POINT (2.1873982 41.386406)"
