"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019043","Barcelona (Eixample)","2020-09-04T00:00:00.000","6","CO","mg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","0.2",,"0.2","0.2","0.2","0.2","0.2","0.5","0.6","0.4","0.3","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.2","0.2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-04T00:00:00.000","8","NO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","31","32","34","22","17","18","25","69","69","66","62","73","74","73","55","54","57","47","46","42","40","39","33","22","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-07T00:00:00.000","14","O3","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","76","64","58","61","51","46","49","56","54","48","33","38","25","36","37","40","45","48","39","44","37","23","22","26","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-15T00:00:00.000","12","NOX","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","16","12","23","46","24","53","92","166","205","176","102","86","76","92","61","51","76","73","75","56","68","45","35","28","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-08T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-15T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","2","6","1","7","25","62","84","60","28","22","19","27","15","12","20","18","19","11","14","9","5","4","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-06T00:00:00.000","6","CO","mg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","0.2",,"0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-06T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","2","4","3","6","6","5","5","3","3","4","10","6","8","6","7","7","6","12","17","17","15","8","6","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-09-06T00:00:00.000","8","NO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","19","29","46","47","53","27","21","17","18","13","14","20","21","28","21","20","18","20","26","43","47","30","21","20","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-01T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","14","13","15","12","9","5","6","8","17","24","18","13","13","12","22","20","28","15","14","19","24","23","22","19","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-02T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","15","12","10","9","8","8","7","8","11","15","16","15","20","14","19","18","15","16","16","16","17","17","16","16","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-03T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","15","14","14","15","13","12","12","17","14","14","14","13","12","15","13","10","10","10","14","13","14","14","14","12","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-04T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","10","12","13","13","13","12","15","22","26","32","49","37","34","31","24","18","17","18","30","33","22","25","18","16","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-05T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","17","16","11","9","12","11","16","22","28","30","34","49","38","37","22","28","21","19","25","21","18","19","17","18","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-06T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","19","22","21","24","24","24","28","39","48","48",,,"35","34","31","26","23","27","33","30","21","24","25","19","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-07T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","20","17","19","18","14","14","24","25","24","23","6","15","19","20","20","20","18","16","30","39","26","20","15","13","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-08T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","11","11","13","13","13","14","14","16","22","24","27","27","23","20","20","16","19","20","25","22","28","22","20","21","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-01T00:00:00.000","12","NOX","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","25","23","40","30","14","10","10","8","9","10","6","11","9","7","10","8","12","9","10","10","13","22","29","27","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-03T00:00:00.000","12","NOX","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","24","25","44","70","46","28","42","67","35","13","10","12","16","11","15","11","10","12","14","29","30","36","38","22","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-04T00:00:00.000","12","NOX","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","24","46","52","34","25","34","62","129","153","188","259","154","120","80","45","36","29","26","32","29","27","33","20","28","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-05T00:00:00.000","12","NOX","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","32","33","54","59","89","65","94","120","134","111","131","117","57","49","28","25","18","28","30","21","25","21","19","30","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-01T00:00:00.000","14","O3","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","68","68","65","55","50","49","46","37","38","33","39","62","68","69","79","84","73","77","77","71","57","56","53","35","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-02T00:00:00.000","14","O3","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","25","21","29","32","43","38","18","20","29","48","37","51","57","64",,"71","76","65","62","58","59","56","54","52","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-13T00:00:00.000","14","O3","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","57","51","39","49","48","51","44","30","27","37","38","46","49","58","79","85","78","76","80","89","83","77","70","64","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-14T00:00:00.000","14","O3","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","54","53","40","39","44","54","45","35","29","32","34","38","35","53","56","55","58","67","64","61","51","45","46","48","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-15T00:00:00.000","14","O3","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","49","47","50","48","41","39","23","10","19","41","44","38","60","60","64","71","83","87","83","82","80","88","85","82","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-01T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-02T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1",,"2","2","2","2","2","2","2","2","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-12T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","2","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-13T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-14T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-15T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-16T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-09T00:00:00.000","6","CO","mg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-10T00:00:00.000","6","CO","mg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-01T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","4","5","2","2","1","1","3","8","10","10","8","6","8","6","4","6","7","10","10","8","7","3","2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-02T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","2","4","2","2","1","1","5","10","31","13",,,,,,"15","11","21","25","18","11","10","5","2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-10T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","2","2","5","2","1","3","2","2","2","3","3","3","3","2","2","2","1","1","1","2","1","4","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-12T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","22","3","4","7","3","2","3","10","12","8","7","9","9","7","6","6","6","4","3","4","3","2","1","2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-13T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","3","3","3","1","1","1","2","6","14","13","7","18","9","7","6","6","6","6","4","3","4","3","3","2","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-05-14T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","8","1","2","1","2","4","3","10","13","14","15","9","19","9","9","8","6","6","8","3","1","1","1","1","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
"08019043","Barcelona (Eixample)","2020-06-01T00:00:00.000","8","NO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","8","12","11","11","13","11","12","22","26","32","36","24","23","21","18","13","19","20","24","30","41","35","22","26","26","41.385315","2.1537998","POINT (2.1537998 41.385315)"
