"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-04T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","14","17","17","14","8","11","16","23","21","25","26","37","39","38","30","22","21","20","17","19","16","18","16","14","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-05T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","11","9","10","9","10","15","16","15","14","15","12","22","25","18","16","10","12","13","13","12","15","14","13","9","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-05T00:00:00.000","12","NOX","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","20","16","20","16","26","24","27","38","45","21","29","36","41","37","28","21","16","23","21","28","28","26","21","33","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-04T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","2","1","1","1","1","2","2","2","2","2","2","3","3","3","2","2","2","2","2","1","1","1","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-05T00:00:00.000","1","SO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","4","2","1","1","1","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-04T00:00:00.000","6","CO","mg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","0.3","0.3","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.2","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-05T00:00:00.000","7","NO","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","1","1","2","1","2","2","2","3","5","2","5","6","6","6","5","3","2","3","3","4","3","2","1","2","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-04T00:00:00.000","8","NO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","37","34","36","21","6","15","31","70","59","54","64","86","68","67","53","41","34","37","32","28","31","27","23","16","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-05T00:00:00.000","8","NO2","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","19","16","19","15","24","22","25","34","38","18","21","27","32","28","21","16","13","20","17","23","24","23","20","32","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
"08019044","Barcelona (Gràcia - Sant Gervasi)","2020-09-06T00:00:00.000","10","PM10","µg/m3","traffic","urban","08019","Barcelona","13","Barcelonès","11","14","9","10","10","14","16","18","20","15","20","15","19","39","24","24","24","13","15","20","26","33","26","10","57","41.398724","2.1533988","POINT (2.1533988 41.398724)"
