"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019057","Barcelona (Palau Reial)","2020-02-04T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","66",,,,,,,,"10","10","12",,"5","5","5","8","4","2","2","3","2","4","3","2","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-02-19T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","3",,,,,,,,,,,,,,,,,,,,,,,,"81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-01-24T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès",,,,,,,,,,,,,,,,,"47","82","82","73","68","66","65","55","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-20T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","14","11","14","14","14","14","3","16","33","46","46","42","43","45","23","14","11","34","34","44","22","18","27","24","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-22T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","24","13","9","8","17","13","13","24","33","38","20","30","29","12","15",,,"25","31","27","20","26","25","16","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-23T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","11",,,"10","7","14","17","19","12","11","24","30","10","13","9","7","18","15","38","25","17","20","14","11","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-24T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","12","9","6","9","21","19","14","15","18",,,"30","24","24","18","4","4","10","15","17","19","18","20","21","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-22T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","22","17","16","15","18","22","24","83","83","47","20","28","13","8","8","8","6","8","8","8","9","8","11","19","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-23T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","13","8","7","20","17","15","37","44","25","10","13","6","3","2","2","1","1","1","6","5","2","2","2","4","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-24T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","8","7","6","6","5","1","4","5","5","5","4","5","3","2","1","1","1","1","1","1","1","3","7","8","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
"08019057","Barcelona (Palau Reial)","2020-05-22T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","43","43","43","43","38","33","33","11","15","31","79","81","104","102","106","101","104","105","108","110","114","111","99","74","81","41.38749","2.1151996","POINT (2.1151996 41.38749)"
