"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019054","Barcelona (Parc Vall Hebron)","2020-09-01T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","8","8","8","6","6","6","9","13","21","15","16","15","14","14","10","9","9","8","9","9","17","14","6","9","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-09-01T00:00:00.000","1","SO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-09-01T00:00:00.000","6","CO","mg/m3","background","urban","08019","Barcelona","13","Barcelonès","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.3","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-06-04T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","9","6","7","11","7","4","6","10",,,,,"11","11","11","10","10","9","12","12","11","17","11","5","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-06-04T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","10","13","16","12","7","7","12","29","32","28",,,,,,,"10","10","9","10","16","14","10","14","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-06-04T00:00:00.000","14","O3","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","58","45","55","52","62","68","61","46","37","43",,,,,,,"100","100","95","93","80","80","83","71","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-06-04T00:00:00.000","1","SO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1",,,,,,,"2","2","1","1","1","1","1","1","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-09-01T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","3","39","21","8","6","7","3","1","1","1","1","1","1","2","3","2","1","1","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-09-01T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","27","18","10","11","8","13","32","58","49","28","25","32","24","19","11","9","9","10","11","25","36","23","14","22","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
"08019054","Barcelona (Parc Vall Hebron)","2020-06-04T00:00:00.000","6","CO","mg/m3","background","urban","08019","Barcelona","13","Barcelonès","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2",,,,,"0.2",,"0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","136","41.42611","2.1480017","POINT (2.1480017 41.42611)"
