"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019004","Barcelona (Poblenou)","2020-09-01T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","16","14","14","12","12","11","15","25","22","26","31","17","13","14","12","11","12","14","18","28","19","18","14","18","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-01T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","2","3","2","3","2","3","10","9","23","30","20","5","5","3","4","3","2","3","3","2","2","3","4","1","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-01T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","44","39","33","44","46","44","51","48","51","51","46","22","23","15","13","15","14","18","18","24","33","59","69","13","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-04T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","11","15","23","13","11","15","15","30","39","51","34","27","39","39","27","33","42","38","27","25","24","10","7","9","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-04T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","2","1","1","2","1","2","3","8","5","3","6","7","4","4","6","6","4","3","2","1","1","1","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-04T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","10","13","20","11","9","12","14","27","35","39","27","22","30","28","22","27","33","29","21","20","21","9","6","8","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-02T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","20","13","13","13","11","11","14","21","27","34","27","22","21","18","14","20","25","24","26","29","22","19","26","20","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-02T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","11","5","6","30","43","44","81","93","96","112","52","44","41","27","27","26","37","36","35","36","34","25","33","43","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-02T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","2","1","1","1","1","2","12","20","24","36","10","7","7","5","5","4","7","6","4","4","2","1","1","2","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-04T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","23","25","18","13","18","16","18","25","33","41","34","28","23","24","24","20","21","25","27","24","26","22","17","13","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-03T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","62","54","62","67","57","45","59","76","123","109","85","26","25","19","20","22","16","19","19","26","30","25","24","36","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-09-03T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","3","3","4","5","3","3","6","17","42","34","23","4","4","3","3","5","2","2","2","2","2","1","2","1","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-08T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","10","10","11","10","12","13","16","21","28","30","24","21","21","16","15","15","15","17","15","17","17","14","24","24","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-10T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","21","26","26","29","32","32","37","35","32","33","37","38","32","31","31","24","24","27","21","7","6","5","6","4","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-21T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","25","24","23","21","18","22","24","29","52","49","46","51","37","48","43","37","40","28","36","44","32","22","18","17","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-11T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","4","3","1","2","3","4","6","8","10","13","12","17","16","40","30","25","28","27","26","21","24","28","29","27","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-12T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","20","18","12","14","17","14","14","19","18","16","13","10","12","12","15","9","12","14","12","11","9","12","11","12","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-13T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","12","11","10","8","12","10","7","11","12","12","19","27","22","18","22","21","23",,,,"7","7","5","9","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-14T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","9","10","12","14","16","18","16","19","19","16","23","22","22","19","19","21","20","20","13","8","8","10","12","11","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-15T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","9","6","7","9","9","11","15","18","17","20","20","14","17","15","14","12","11","13","16","12","14","15","15","15","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-16T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","12","10","6","8","9","13","14","12","12","11","12","12","16","14","11","12","14","10","6","7","9","12","14","8","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-17T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","6","8","9","6","6","5","8","10","10","10","12","13","15","25","19","21","18","14","21","28","22","19","20","17","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-18T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","19","16","15","14","17","17","19","22","30","32","25","26","21","27","22","18","20","26","31","28","23","25","30","30","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-01T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","12","23","26","27","17","19","7","8","6","6","8","10","7","5","6","5","4","4","6","15","13","7","9","7","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-05-02T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","5","13","20","12","17","24","11","26","22","8","6","10","9","10","5","4","4","4","4","3","6","12","7","8","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-04T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","9","10","13","9","3","7","9","15","14","20",,,"26","21","16","17","17","22","26","23","23","21","9","5","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-05T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","6","8","7","7","11","10","9","12","18","18","16","18","16","20","13","16","15","11","17","25","30","28","22","17","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-06T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","13","11","16","18","16","15","16","17","20","21","21","19","23","19","15","17","15","14","14","18","21","29","27","23","3","41.40388","2.204501","POINT (2.204501 41.40388)"
"08019004","Barcelona (Poblenou)","2020-06-07T00:00:00.000","10","PM10","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","22","15","14","15","15","13","12","12","8","5","12","15","12","11","12","8","8","8","10","10","12","9","8","3","3","41.40388","2.204501","POINT (2.204501 41.40388)"
