"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h01","h02","h03","h04","h05","h06","h07","h08","h09","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","geocoded_column"
"08019042","Barcelona (Sants)","2020-05-01T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","19","15","20","19","10","6","8","4","2","4","4","4","5","3","2","2","2","3","2","5","6","13","20","30","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-02T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","9","6","15","20","13","4","6","3","5","8","11","15","10","7","9","11","8","6","9","5","6","15","14","16","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-01T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","6","6","7","7","8","6","8","13","23","35","50","27","25","20","15","9","10","6","7","6","16","9","12","16","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-02T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","16","14","17","10","11","11","13","56","47","28","21","42","26","18","17","26","14","11","12","11","11","10","10","9","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-05T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","21","22","27","44","34","50","47","83","77","54","56","45","21","31","12","11","8","14","20","16","14","21","16","23","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-01T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","2","4","7","3","2","3","2","1","1","1","1","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-01T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","5","6","7","6","7","6","8","11","20","28","39","22","21","16","12","8","9","5","6","4","15","8","11","15","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-02T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","8","6","5","3","5","3","2","2","4","2","1","1","1","1","1","1","2","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-15T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","2","1","2","1","1","1","1","9","9","5","3","3","4","2","2","1","2","1","1","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-16T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","2","3","2","2","3","2","1","1","1","1","1","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-17T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-07T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","9","11","7","7","5","8","9","20","25","22","23","20","14","12","12","11","11","10","14","19","30","27","17","17","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-07T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","1","1","1","1","1","1","2","2","4","4","2","2","2","1","1","1","1","1","4","1","2","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-08T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","19","16","13","8","9","8","12","23","34","34","29","34","30","29","16","17","16","23","27","30","44","35","36","33","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-08T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","3","2","2","1","1","1","1","1","4","6","4","6","4","3","2","1","1","2","1","2","3","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-08T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","16","15","12","8","9","7","12","21","27","25","23","25","24","24","13","16","14","20","24","28","40","34","35","32","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-10T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","2","1","2","4","1","1","1","2","9","18","4","3","2","4","2","1","1","1","2","2","1","1","2","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-09T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","22","19","14","16","7","7","14","30","37","59","61","55","40","35","50","31","27","14","11","28","50","37","36","37","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-10T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","28","19","19","21","22","13","20","40","43","48","22","14","9","22","17","12","13","24","32","48","35","30","30","20","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-18T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","7","7","7","15","14","10","23","49","63","53","64","82","53","23","23","15","25","13","15","11","11","16","32","33","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-19T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","37","56","41","30","18","10","7","20","31","29","25","17","26","45","30","21","22","23","18","22","13","11","11","19","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-18T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","2","1","2","1","1","2","10","13","12","14","20","10","3","3","2","3","1","1","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-19T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","6","3","1","1","1","1","2","5","6","6","3","4","6","3","2","2","2","1","2","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-18T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","6","5","6","13","13","9","21","34","44","35","43","52","37","18","19","13","21","11","13","10","10","14","31","32","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-19T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","35","47","36","29","17","9","7","17","23","20","16","13","20","37","26","18","19","20","15","20","13","10","11","18","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-21T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","29","35","38","39","45","44","57","83","111","107","72","44","34","24","17","13","11","11","12","13","17","15","14","14","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-21T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","4","2","2","4","3","8","19","29","25","11","6","4","2","2","1","1","1","1","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-20T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","28","45","38","38","37","38","39","80","196","186","140","111",,"44","29","22","15","22","30","23","18","32","38","29","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-20T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","2","5","2","2","2","2","2","16","67","55","37","23",,"6","3","2","1","2","2","1","1","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-05-20T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","26","39","35","34","34","35","36","56","94","103","84","76",,"34","25","20","13","19","27","21","17","31","37","27","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-09T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","1","1","3","2","1","1","1","3","5","7","4","4","4","2","2","2","2","2","2","2","2","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-09T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","10","10","18","13","10","12","10","20","25","26","18","20","20","15","18","15","20","29","30","32","31","26","27","23","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-05T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","17","13","14","17","13","12","14","17","18","15","17","19","22","19","24","19","12","12","15","10","11","11","18","13","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-06-06T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","17","14","19","26","22","20","24","46","29","26","19","11","11","10","10","8","7","8","8","15","15","23","13","7","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-08-12T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","2","1","1","1","1","1","1","1","3","2","3","3","2","2","1","2","1","1","3","1","2","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-08-12T00:00:00.000","8","NO2","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","19","18","15","17","16","12","13","19","30","21","26","20","15","11","8","10","8","7","10","10","7","10","9","9","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-13T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","50","67","47","14","33","31","23","34","68","53","35","30","18","12","13","13","16","14","23","23","16","18","20","50","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-10T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","32","20","20","26","23","13","21","44","56","76","28","19","12","27","20","14","15","25","35","51","36","31","32","21","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-11T00:00:00.000","12","NOX","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","25","14","28","33","13","15","17","26","21","10","10","10","15","20","11","10","11","13","8","39","37","26","29","27","35","41.37878","2.133099","POINT (2.133099 41.37878)"
"08019042","Barcelona (Sants)","2020-09-11T00:00:00.000","7","NO","µg/m3","background","urban","08019","Barcelona","13","Barcelonès","6","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","3","2","1","1","1","35","41.37878","2.133099","POINT (2.133099 41.37878)"
